case_id,npz_path,mhd_path,z,y,x,spacing_z,spacing_y,spacing_x,split
subset0/1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260,runs/run_2026_01_01/data/drr_pairs_fixed/npz/subset0__1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260.npz,data/luna16/subset0/subset0/1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260.mhd,256,256,256,1.181640625,1.5234379768371582,1.5234379768371582,train
subset0/1.3.6.1.4.1.14519.5.2.1.6279.6001.108197895896446896160048741492,runs/run_2026_01_01/data/drr_pairs_fixed/npz/subset0__1.3.6.1.4.1.14519.5.2.1.6279.6001.108197895896446896160048741492.npz,data/luna16/subset0/subset0/1.3.6.1.4.1.14519.5.2.1.6279.6001.108197895896446896160048741492.mhd,256,256,256,1.162109375,1.4843759536743164,1.4843759536743164,train
subset0/1.3.6.1.4.1.14519.5.2.1.6279.6001.122763913896761494371822656720,runs/run_2026_01_01/data/drr_pairs_fixed/npz/subset0__1.3.6.1.4.1.14519.5.2.1.6279.6001.122763913896761494371822656720.npz,data/luna16/subset0/subset0/1.3.6.1.4.1.14519.5.2.1.6279.6001.122763913896761494371822656720.mhd,256,256,256,1.2109375,1.2304680347442627,1.2304680347442627,train
subset0/1.3.6.1.4.1.14519.5.2.1.6279.6001.124154461048929153767743874565,runs/run_2026_01_01/data/drr_pairs_fixed/npz/subset0__1.3.6.1.4.1.14519.5.2.1.6279.6001.124154461048929153767743874565.npz,data/luna16/subset0/subset0/1.3.6.1.4.1.14519.5.2.1.6279.6001.124154461048929153767743874565.mhd,256,256,256,1.3710937136784196,1.4453125,1.4453125,train
subset0/1.3.6.1.4.1.14519.5.2.1.6279.6001.126121460017257137098781143514,runs/run_2026_01_01/data/drr_pairs_fixed/npz/subset0__1.3.6.1.4.1.14519.5.2.1.6279.6001.126121460017257137098781143514.npz,data/luna16/subset0/subset0/1.3.6.1.4.1.14519.5.2.1.6279.6001.126121460017257137098781143514.mhd,256,256,256,1.298828125,1.1132819652557373,1.1132819652557373,train
subset0/1.3.6.1.4.1.14519.5.2.1.6279.6001.126264578931778258890371755354,runs/run_2026_01_01/data/drr_pairs_fixed/npz/subset0__1.3.6.1.4.1.14519.5.2.1.6279.6001.126264578931778258890371755354.npz,data/luna16/subset0/subset0/1.3.6.1.4.1.14519.5.2.1.6279.6001.126264578931778258890371755354.mhd,256,256,256,1.3125,1.21484375,1.21484375,train
subset0/1.3.6.1.4.1.14519.5.2.1.6279.6001.128023902651233986592378348912,runs/run_2026_01_01/data/drr_pairs_fixed/npz/subset0__1.3.6.1.4.1.14519.5.2.1.6279.6001.128023902651233986592378348912.npz,data/luna16/subset0/subset0/1.3.6.1.4.1.14519.5.2.1.6279.6001.128023902651233986592378348912.mhd,256,256,256,1.298828125,1.40625,1.40625,train
subset0/1.3.6.1.4.1.14519.5.2.1.6279.6001.129055977637338639741695800950,runs/run_2026_01_01/data/drr_pairs_fixed/npz/subset0__1.3.6.1.4.1.14519.5.2.1.6279.6001.129055977637338639741695800950.npz,data/luna16/subset0/subset0/1.3.6.1.4.1.14519.5.2.1.6279.6001.129055977637338639741695800950.mhd,256,256,256,1.3207031025085598,1.234375,1.234375,train
subset0/1.3.6.1.4.1.14519.5.2.1.6279.6001.130438550890816550994739120843,runs/run_2026_01_01/data/drr_pairs_fixed/npz/subset0__1.3.6.1.4.1.14519.5.2.1.6279.6001.130438550890816550994739120843.npz,data/luna16/subset0/subset0/1.3.6.1.4.1.14519.5.2.1.6279.6001.130438550890816550994739120843.mhd,256,256,256,1.337890625,1.2304680347442627,1.2304680347442627,train
subset0/1.3.6.1.4.1.14519.5.2.1.6279.6001.134996872583497382954024478441,runs/run_2026_01_01/data/drr_pairs_fixed/npz/subset0__1.3.6.1.4.1.14519.5.2.1.6279.6001.134996872583497382954024478441.npz,data/luna16/subset0/subset0/1.3.6.1.4.1.14519.5.2.1.6279.6001.134996872583497382954024478441.mhd,256,256,256,0.9619140625,1.71875,1.71875,train
subset0/1.3.6.1.4.1.14519.5.2.1.6279.6001.137763212752154081977261297097,runs/run_2026_01_01/data/drr_pairs_fixed/npz/subset0__1.3.6.1.4.1.14519.5.2.1.6279.6001.137763212752154081977261297097.npz,data/luna16/subset0/subset0/1.3.6.1.4.1.14519.5.2.1.6279.6001.137763212752154081977261297097.mhd,256,256,256,0.9609375,1.484375,1.484375,train
subset0/1.3.6.1.4.1.14519.5.2.1.6279.6001.139258777898746693365877042411,runs/run_2026_01_01/data/drr_pairs_fixed/npz/subset0__1.3.6.1.4.1.14519.5.2.1.6279.6001.139258777898746693365877042411.npz,data/luna16/subset0/subset0/1.3.6.1.4.1.14519.5.2.1.6279.6001.139258777898746693365877042411.mhd,256,256,256,1.1484375,1.02734375,1.02734375,train
subset0/1.3.6.1.4.1.14519.5.2.1.6279.6001.139713436241461669335487719526,runs/run_2026_01_01/data/drr_pairs_fixed/npz/subset0__1.3.6.1.4.1.14519.5.2.1.6279.6001.139713436241461669335487719526.npz,data/luna16/subset0/subset0/1.3.6.1.4.1.14519.5.2.1.6279.6001.139713436241461669335487719526.mhd,256,256,256,1.3671875,1.4453120231628418,1.4453120231628418,train
subset0/1.3.6.1.4.1.14519.5.2.1.6279.6001.141069661700670042960678408762,runs/run_2026_01_01/data/drr_pairs_fixed/npz/subset0__1.3.6.1.4.1.14519.5.2.1.6279.6001.141069661700670042960678408762.npz,data/luna16/subset0/subset0/1.3.6.1.4.1.14519.5.2.1.6279.6001.141069661700670042960678408762.mhd,256,256,256,1.09375,1.14453125,1.14453125,train
subset0/1.3.6.1.4.1.14519.5.2.1.6279.6001.144438612068946916340281098509,runs/run_2026_01_01/data/drr_pairs_fixed/npz/subset0__1.3.6.1.4.1.14519.5.2.1.6279.6001.144438612068946916340281098509.npz,data/luna16/subset0/subset0/1.3.6.1.4.1.14519.5.2.1.6279.6001.144438612068946916340281098509.mhd,256,256,256,1.2265625,1.3281240463256836,1.3281240463256836,train
subset0/1.3.6.1.4.1.14519.5.2.1.6279.6001.146429221666426688999739595820,runs/run_2026_01_01/data/drr_pairs_fixed/npz/subset0__1.3.6.1.4.1.14519.5.2.1.6279.6001.146429221666426688999739595820.npz,data/luna16/subset0/subset0/1.3.6.1.4.1.14519.5.2.1.6279.6001.146429221666426688999739595820.mhd,256,256,256,1.42578125,1.4609375,1.4609375,train
subset0/1.3.6.1.4.1.14519.5.2.1.6279.6001.154677396354641150280013275227,runs/run_2026_01_01/data/drr_pairs_fixed/npz/subset0__1.3.6.1.4.1.14519.5.2.1.6279.6001.154677396354641150280013275227.npz,data/luna16/subset0/subset0/1.3.6.1.4.1.14519.5.2.1.6279.6001.154677396354641150280013275227.mhd,256,256,256,1.07421875,1.5625,1.5625,train
subset0/1.3.6.1.4.1.14519.5.2.1.6279.6001.187451715205085403623595258748,runs/run_2026_01_01/data/drr_pairs_fixed/npz/subset0__1.3.6.1.4.1.14519.5.2.1.6279.6001.187451715205085403623595258748.npz,data/luna16/subset0/subset0/1.3.6.1.4.1.14519.5.2.1.6279.6001.187451715205085403623595258748.mhd,256,256,256,1.220703125,1.40625,1.40625,train
