case_id,npz_path,mhd_path,z,y,x,spacing_z,spacing_y,spacing_x
subset0/1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260,data/drp_pairs/npz/subset0__1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260.npz,data/luna16/subset0/subset0/1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260.mhd,96,256,256,2.5,0.7617189884185791,0.7617189884185791
subset0/1.3.6.1.4.1.14519.5.2.1.6279.6001.108197895896446896160048741492,data/drp_pairs/npz/subset0__1.3.6.1.4.1.14519.5.2.1.6279.6001.108197895896446896160048741492.npz,data/luna16/subset0/subset0/1.3.6.1.4.1.14519.5.2.1.6279.6001.108197895896446896160048741492.mhd,96,256,256,2.5,0.7421879768371582,0.7421879768371582
subset0/1.3.6.1.4.1.14519.5.2.1.6279.6001.109002525524522225658609808059,data/drp_pairs/npz/subset0__1.3.6.1.4.1.14519.5.2.1.6279.6001.109002525524522225658609808059.npz,data/luna16/subset0/subset0/1.3.6.1.4.1.14519.5.2.1.6279.6001.109002525524522225658609808059.mhd,96,256,256,1.25,0.5488280057907104,0.5488280057907104
subset0/1.3.6.1.4.1.14519.5.2.1.6279.6001.111172165674661221381920536987,data/drp_pairs/npz/subset0__1.3.6.1.4.1.14519.5.2.1.6279.6001.111172165674661221381920536987.npz,data/luna16/subset0/subset0/1.3.6.1.4.1.14519.5.2.1.6279.6001.111172165674661221381920536987.mhd,96,256,256,0.625,0.7421879768371582,0.7421879768371582
subset0/1.3.6.1.4.1.14519.5.2.1.6279.6001.122763913896761494371822656720,data/drp_pairs/npz/subset0__1.3.6.1.4.1.14519.5.2.1.6279.6001.122763913896761494371822656720.npz,data/luna16/subset0/subset0/1.3.6.1.4.1.14519.5.2.1.6279.6001.122763913896761494371822656720.mhd,96,256,256,2.5,0.6152340173721313,0.6152340173721313
subset0/1.3.6.1.4.1.14519.5.2.1.6279.6001.124154461048929153767743874565,data/drp_pairs/npz/subset0__1.3.6.1.4.1.14519.5.2.1.6279.6001.124154461048929153767743874565.npz,data/luna16/subset0/subset0/1.3.6.1.4.1.14519.5.2.1.6279.6001.124154461048929153767743874565.mhd,96,256,256,1.7999999523162842,0.72265625,0.72265625
subset0/1.3.6.1.4.1.14519.5.2.1.6279.6001.126121460017257137098781143514,data/drp_pairs/npz/subset0__1.3.6.1.4.1.14519.5.2.1.6279.6001.126121460017257137098781143514.npz,data/luna16/subset0/subset0/1.3.6.1.4.1.14519.5.2.1.6279.6001.126121460017257137098781143514.mhd,96,256,256,2.5,0.5566409826278687,0.5566409826278687
subset0/1.3.6.1.4.1.14519.5.2.1.6279.6001.126264578931778258890371755354,data/drp_pairs/npz/subset0__1.3.6.1.4.1.14519.5.2.1.6279.6001.126264578931778258890371755354.npz,data/luna16/subset0/subset0/1.3.6.1.4.1.14519.5.2.1.6279.6001.126264578931778258890371755354.mhd,96,256,256,0.5,0.607421875,0.607421875
subset0/1.3.6.1.4.1.14519.5.2.1.6279.6001.128023902651233986592378348912,data/drp_pairs/npz/subset0__1.3.6.1.4.1.14519.5.2.1.6279.6001.128023902651233986592378348912.npz,data/luna16/subset0/subset0/1.3.6.1.4.1.14519.5.2.1.6279.6001.128023902651233986592378348912.mhd,96,256,256,2.5,0.703125,0.703125
subset0/1.3.6.1.4.1.14519.5.2.1.6279.6001.129055977637338639741695800950,data/drp_pairs/npz/subset0__1.3.6.1.4.1.14519.5.2.1.6279.6001.129055977637338639741695800950.npz,data/luna16/subset0/subset0/1.3.6.1.4.1.14519.5.2.1.6279.6001.129055977637338639741695800950.mhd,96,256,256,0.699999988079071,0.6171875,0.6171875
subset0/1.3.6.1.4.1.14519.5.2.1.6279.6001.130438550890816550994739120843,data/drp_pairs/npz/subset0__1.3.6.1.4.1.14519.5.2.1.6279.6001.130438550890816550994739120843.npz,data/luna16/subset0/subset0/1.3.6.1.4.1.14519.5.2.1.6279.6001.130438550890816550994739120843.mhd,96,256,256,1.25,0.6152340173721313,0.6152340173721313
subset0/1.3.6.1.4.1.14519.5.2.1.6279.6001.134996872583497382954024478441,data/drp_pairs/npz/subset0__1.3.6.1.4.1.14519.5.2.1.6279.6001.134996872583497382954024478441.npz,data/luna16/subset0/subset0/1.3.6.1.4.1.14519.5.2.1.6279.6001.134996872583497382954024478441.mhd,96,256,256,1.25,0.859375,0.859375
subset0/1.3.6.1.4.1.14519.5.2.1.6279.6001.137763212752154081977261297097,data/drp_pairs/npz/subset0__1.3.6.1.4.1.14519.5.2.1.6279.6001.137763212752154081977261297097.npz,data/luna16/subset0/subset0/1.3.6.1.4.1.14519.5.2.1.6279.6001.137763212752154081977261297097.mhd,96,256,256,1.0,0.7421875,0.7421875
subset0/1.3.6.1.4.1.14519.5.2.1.6279.6001.138080888843357047811238713686,data/drp_pairs/npz/subset0__1.3.6.1.4.1.14519.5.2.1.6279.6001.138080888843357047811238713686.npz,data/luna16/subset0/subset0/1.3.6.1.4.1.14519.5.2.1.6279.6001.138080888843357047811238713686.mhd,96,256,256,1.0,0.681640625,0.681640625
